SIGO,PDR,,
12,11.23809524,13.82926829,10002
12.41176471,13.125,14.24137931,10003
11.48275862,16.57142857,15.19047619,10004
13,12.14285714,13.64516129,10005
13.2,13.375,14.21428571,10006
12.69230769,13.85,14.30434783,10007
11,12.52941176,13.15,10008
12.2,13.23529412,13.38,10009
14.52941176,14.13636364,13.83333333,10010
14.6,13.45454545,14.4,10011
13.55555556,12.06666667,13,10012
13.33333333,11.70588235,13.63414634,10013
12.83333333,12.8,14.59090909,10014
16,11.90322581,16.62745098,10015
12,14.28571429,14.44117647,10016
0,13.3125,15,10017
0,13.25,14.92156863,10018
11,15.25,13.38461538,10019
13.75,13.25,12.41176471,10020
13.125,12.05,13.76923077,10021
0,13.94736842,13.89795918,10022
12.42857143,16.33333333,13.71428571,10023
13.54545455,14.76923077,15.4516129,10024
12.2,13.51724138,13.96363636,10025
14.08695652,12.42857143,15.28,10026
12.94736842,13,12.84444444,10027
12.5,12.5,14.5106383,10028
14.81818182,13,15.27272727,10029
13,15,15,10030
16,15.30434783,12.625,10031
14.6,13.7826087,14.5,10032
11.4,11.53571429,14.07407407,10033
12,11.84615385,13.45,10034
11.5,12.6,14.68292683,10035
13.71428571,15.12903226,15.15789474,10036
10,13.89473684,11.95,10037
12.9375,15.625,14,10038
9.714285714,13.80645161,14.14814815,10039
13.7,15.32,13.32608696,10040
13.63636364,15.54166667,14.34090909,10041
12.25,13.13333333,15.64583333,10042
15.5,13.22222222,14.7027027,10043
15,12.23404255,15,10044
12,13.78571429,13.53333333,10045
13,14.75,13.7254902,10046
13,13.7826087,13.66666667,10047
12.81818182,13.56521739,16,10048
14,12.84210526,13.84848485,10049
,,,
SIGOÅ™LSGOÅ´,PDR-average,,
200,300,400,seed
0.236734694,0.444897959,0.726530612,
0.206122449,0.381632653,0.681632653,
,,,
SIGOÅ™LSGOÅ´,delay-average,,
200,300,400,seed
0.033915616,0.036847025,0.039441054,
0.030407019,0.034857411,0.039405064,
,,,
SIGOÅ™LSGOÅ´,overhead-average,,
200,300,400,seed
56.15986395,41.98328474,33.05934564,
65.14455782,47.47857143,34.22734856,
,,,
SIGOÅ™LSGOÅ´,hop-average,,
200,300,400,seed
13.19047619,13.88386783,13.9669987,
12.23695132,13.54919397,14.16404218,
