SIGO,PDR,,,,,,,,,,,,,,,,,,,,
0.029378,0.0189575,0.0359505,10017,,,,,,,,,,,,,,,,,,
0.031264,0.0453006,0.02598,10018,,,,,,,,,,,,,,,,,,
0.032923667,0.02780025,0.03884,10019,,,,,,,,,,,,,,,,,,
0.0346715,0.0290545,0.036232667,10020,,,,,,,,,,,,,,,,,,
0.039819333,0.03801925,0.043578111,10021,,,,,,,,,,,,,,,,,,
0.0272825,0.032868375,0.030135143,10022,,,,,,,,,,,,,,,,,,
0.035068,0.02822325,0.03185725,10023,,,,,,,,,,,,,,,,,,
0.016104,0.0291035,0.031278833,10024,,,,,,,,,,,,,,,,,,
0.033590333,0.0434234,0.031959286,10025,,,,,,,,,,,,,,,,,,
0.038354333,0.0193225,0.035763167,10026,,,,,,,,,,,,,,,,,,
0.0319155,0.020710833,0.037967625,10027,,,,,,,,,,,,,,,,,,
0.045231,0.0258646,0.028339,10028,,,,,,,,,,,,,,,,,,
0.040701,0.039816286,0.025584125,10029,,,,,,,,,,,,,,,,,,
0.03542,0.031722667,0.03534275,10030,,,,,,,,,,,,,,,,,,
0.028437,0.0271524,0.03434025,10031,,,,,,,,,,,,,,,,,,
0.038302,0.0303212,0.036107625,10032,,,,,,,,,,,,,,,,,,
0.023375,0.0544076,0.021341286,10033,,,,,,,,,,,,,,,,,,
0.028984,0.039623857,0.035026111,10034,,,,,,,,,,,,,,,,,,
0.030779,0.0208524,0.030999833,10035,,,,,,,,,,,,,,,,,,
0.038026,0.0490672,0.04167975,10036,,,,,,,,,,,,,,,,,,
0.040247,0.0292966,0.033472167,10037,,,,,,,,,,,,,,,,,,
0.037282,0.030131167,0.027397,10038,,,,,,,,,,,,,,,,,,
0.025587333,0.021003556,0.030736429,10039,,,,,,,,,,,,,,,,,,
0.039238333,0.031088,0.044136889,10040,,,,,,,,,,,,,,,,,,
0.041791,0.014095,0.029790833,10041,,,,,,,,,,,,,,,,,,
0.031696,0.051110167,0.042728,10042,,,,,,,,,,,,,,,,,,
0.038559,0.0300328,0.032220429,10043,,,,,,,,,,,,,,,,,,
0.030291,0.0301832,0.038027714,10044,,,,,,,,,,,,,,,,,,
0.02513875,0.03168525,0.037942667,10045,,,,,,,,,,,,,,,,,,
0.0299905,0.0267648,0.040069222,10046,,,,,,,,,,,,,,,,,,
0.055386,0.02115,0.04686375,10047,,,,,,,,,,,,,,,,,,
0.030718333,0.029320333,0.037003556,10048,,,,,,,,,,,,,,,,,,
0.020442,0.029519,0.0306674,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIGO,Overhead,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
37.6,31.57142857,28.71428571,10001,,,,,,,,,,,,,,,,,,
57.5,33.6,20.6,10002,,,,,,,,,,,,,,,,,,
59,25.33333333,26.88888889,10003,,,,,,,,,,,,,,,,,,
51.33333333,41.25,25.22222222,10004,,,,,,,,,,,,,,,,,,
42.33333333,24.83333333,27.44444444,10005,,,,,,,,,,,,,,,,,,
36.25,36.8,22.75,10006,,,,,,,,,,,,,,,,,,
75.5,28.16666667,24.44444444,10007,,,,,,,,,,,,,,,,,,
67.5,24.85714286,24.625,10008,,,,,,,,,,,,,,,,,,
46,22.83333333,28.125,10009,,,,,,,,,,,,,,,,,,
114,21.57142857,21,10010,,,,,,,,,,,,,,,,,,
63,19.85714286,22.5,10011,,,,,,,,,,,,,,,,,,
36.25,20.625,26.625,10012,,,,,,,,,,,,,,,,,,
54.66666667,26,28.25,10013,,,,,,,,,,,,,,,,,,
74,30.8,28.625,10014,,,,,,,,,,,,,,,,,,
35,24.16666667,26.44444444,10015,,,,,,,,,,,,,,,,,,
169,22.5,27.28571429,10016,,,,,,,,,,,,,,,,,,
35,27.8,21.1,10017,,,,,,,,,,,,,,,,,,
29,29.83333333,20.11111111,10018,,,,,,,,,,,,,,,,,,
27.25,32.83333333,34.85714286,10019,,,,,,,,,,,,,,,,,,
114,36.75,24.7,10020,,,,,,,,,,,,,,,,,,
65,63.66666667,23.11111111,10021,,,,,,,,,,,,,,,,,,
70,22.5,33.11111111,10022,,,,,,,,,,,,,,,,,,
47,26.33333333,27.11111111,10023,,,,,,,,,,,,,,,,,,
51.5,30.83333333,32.28571429,10024,,,,,,,,,,,,,,,,,,
68,33,23.375,10025,,,,,,,,,,,,,,,,,,
54.5,21.33333333,27.42857143,10026,,,,,,,,,,,,,,,,,,
39.33333333,36.2,20.77777778,10027,,,,,,,,,,,,,,,,,,
39.33333333,29.16666667,27.7,10028,,,,,,,,,,,,,,,,,,
34.66666667,31.5,35,10029,,,,,,,,,,,,,,,,,,
68,22.66666667,36.33333333,10030,,,,,,,,,,,,,,,,,,
87.5,25.16666667,25,10031,,,,,,,,,,,,,,,,,,
52.33333333,21.85714286,22.5,10032,,,,,,,,,,,,,,,,,,
174,27,24.25,10033,,,,,,,,,,,,,,,,,,
71,18.25,28.125,10034,,,,,,,,,,,,,,,,,,
34,31,23.125,10035,,,,,,,,,,,,,,,,,,
30.5,31.4,42.2,10036,,,,,,,,,,,,,,,,,,
67.5,20.83333333,26.57142857,10037,,,,,,,,,,,,,,,,,,
63.5,24.66666667,26.5,10038,,,,,,,,,,,,,,,,,,
27.5,20.71428571,25.85714286,10039,,,,,,,,,,,,,,,,,,
43.5,27.14285714,34.5,10040,,,,,,,,,,,,,,,,,,
30.66666667,29.4,21.33333333,10041,,,,,,,,,,,,,,,,,,
30,35.57142857,21.66666667,10042,,,,,,,,,,,,,,,,,,
69.5,19.6,25,10043,,,,,,,,,,,,,,,,,,
70,30.2,25.375,10044,,,,,,,,,,,,,,,,,,
28,21,24.22222222,10045,,,,,,,,,,,,,,,,,,
