source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
186, 201, 486, 13308601, 4, 65, 191, 10000000, 10000000, 10000000, 1, 0.317729, 0, 0, 0, 146, 0
186, 201, 486, 13309041, 5, 65, 191, 10000000, 10000000, 10000000, 1, 0.317706, 0, 0, 0, 146, 0
65, 201, 525, 13309041, 5, 191, 67, 10000000, 10000000, 10000000, 0.724037, 0.687185, 0, 0, 0, 146, 1
86, 674, 201, 13309390, 6, 274, 113, 214, 295, 270, 1, 1, 1, 1, 0.970993, 146, 1
131, 684, 198, 13309390, 6, 214, 295, 249, 274, 194, 0.942457, 0.956628, 1, 0.825424, 1, 146, 0
194, 721, 201, 13309390, 6, 227, 274, 99, 120, 214, 0.971863, 1, 0.970755, 0.862255, 1, 146, 0
270, 821, 198, 13313591, 7, 120, 227, 58, 99, 274, 0.969598, 1, 0.75304, 1, 1, 146, 1
274, 801, 218, 13329791, 8, 58, 120, 40, 227, 10000000, 1, 1, 0.844823, 1, 0, 146, 1
99, 914, 198, 13329791, 8, 58, 10000000, 10000000, 10000000, 10000000, 0.32217, 0, 0, 0, 0, 146, 1
227, 801, 245, 13345991, 9, 58, 120, 40, 10000000, 10000000, 1, 1, 0.843175, 0, 0, 146, 0
40, 798, 286, 13345991, 9, 87, 58, 260, 211, 133, 1, 0.964832, 0.752389, 0.643465, 0.53582, 146, 0
120, 801, 288, 13345991, 9, 87, 58, 40, 10000000, 10000000, 1, 1, 0.859364, 0, 0, 146, 1
58, 801, 335, 13345991, 9, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
40, 798, 286, 13350191, 10, 87, 58, 260, 211, 133, 1, 0.964398, 0.75205, 0.643175, 0.535579, 146, 0
58, 801, 335, 13350191, 10, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
87, 798, 478, 13350192, 10, 238, 125, 273, 94, 140, 1, 0.856786, 0.85783, 0.750204, 1, 146, 1
140, 798, 518, 13350632, 11, 94, 125, 238, 273, 228, 0.959806, 1, 1, 0.965014, 0.857013, 146, 0
238, 801, 643, 13350632, 11, 225, 165, 94, 37, 125, 1, 1, 1, 1, 1, 146, 1
37, 798, 684, 13350903, 12, 127, 69, 225, 165, 272, 1, 0.963521, 0.965038, 1, 0.751765, 146, 0
125, 801, 685, 13350903, 12, 225, 94, 165, 127, 37, 1, 1, 0.857615, 0.463578, 0.961158, 146, 0
94, 801, 721, 13350904, 12, 225, 74, 165, 69, 127, 0.94261, 0.757593, 1, 0.2991, 0.187256, 146, 0
165, 798, 721, 13350904, 12, 127, 225, 272, 69, 200, 1, 1, 0.966554, 0.856463, 0.750853, 146, 1
225, 801, 850, 13355104, 13, 69, 127, 74, 57, 10000000, 1, 1, 0.788997, 0.642112, 0, 146, 1
69, 801, 928, 13355104, 13, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
58, 801, 336, 13358391, 11, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
74, 798, 880, 13359304, 14, 69, 127, 97, 10000000, 10000000, 1, 1, 0.321133, 0, 0, 146, 0
127, 801, 883, 13359304, 14, 69, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 146, 1
69, 801, 928, 13359304, 14, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
69, 801, 928, 13363504, 15, 10000000, 10000000, 10000000, 10000000, 10000000, 0, 0, 0, 0, 0, 146, 0
32, 1, 344, 14299999, 1, 50, 43, 10000000, 10000000, 10000000, 1, 0.189114, 0, 0, 0, 127, 0
98, 201, 132, 15299999, 1, 174, 13, 267, 226, 126, 1, 1, 0.954903, 0.848047, 0.606427, 261, 0
267, 201, 239, 15300200, 2, 23, 206, 126, 259, 174, 1, 0.964524, 1, 0.797166, 1, 261, 0
13, 198, 245, 15300200, 2, 265, 259, 23, 254, 206, 1, 1, 1, 0.863017, 1, 261, 0
226, 201, 266, 15300200, 2, 265, 23, 206, 126, 259, 1, 1, 1, 1, 0.755828, 261, 0
174, 198, 281, 15300200, 2, 186, 254, 265, 259, 23, 0.971441, 1, 1, 1, 1, 261, 1
126, 201, 315, 15300200, 2, 186, 265, 254, 259, 23, 1, 0.953457, 0.798049, 0.971779, 1, 261, 0
23, 201, 352, 15300627, 3, 254, 186, 259, 265, 65, 1, 0.685667, 1, 0.64732, 0.362882, 261, 0
259, 198, 368, 15300627, 3, 65, 186, 254, 265, 172, 0.970423, 1, 1, 1, 0.754525, 261, 0
265, 201, 432, 15300627, 3, 65, 186, 254, 172, 251, 1, 1, 1, 0.754525, 0.753723, 261, 1
254, 201, 470, 15308828, 4, 65, 186, 172, 45, 191, 1, 1, 0.646164, 0.431079, 0.215217, 261, 0
186, 201, 513, 15308828, 4, 65, 191, 10, 10000000, 10000000, 1, 0.361668, 0, 0, 0, 261, 0
65, 201, 553, 15308828, 4, 191, 67, 10, 10000000, 10000000, 0.753259, 0.646841, 0, 0, 0, 261, 1
10, 198, 639, 15309125, 5, 67, 191, 279, 223, 173, 1, 1, 0.862123, 0.861528, 0.753104, 261, 1
191, 201, 714, 15317325, 6, 223, 67, 59, 279, 166, 0.953153, 1, 1, 0.79466, 1, 261, 1
67, 201, 763, 15321526, 7, 279, 223, 10000000, 10000000, 10000000, 1, 0.959129, 0, 0, 0, 261, 1
279, 201, 833, 15321526, 7, 130, 248, 3, 10000000, 10000000, 0.862549, 0.754693, 0.536681, 0, 0, 261, 0
166, 198, 886, 15321526, 7, 279, 67, 223, 59, 106, 1, 1, 0.860379, 1, 0.322937, 261, 0
279, 201, 833, 15325726, 8, 130, 248, 3, 10000000, 10000000, 0.862158, 0.754352, 0.536439, 0, 0, 261, 1
223, 201, 871, 15325726, 8, 248, 130, 3, 279, 10000000, 0.754352, 0.646619, 0.429151, 1, 0, 261, 0
212, 201, 76, 16299999, 1, 13, 98, 117, 240, 267, 1, 1, 1, 0.965222, 0.549197, 242, 0
117, 201, 122, 16300200, 2, 174, 13, 267, 226, 98, 1, 1, 0.847263, 0.60308, 1, 242, 0
240, 198, 127, 16300200, 2, 126, 226, 267, 23, 174, 0.968558, 1, 1, 0.862123, 0.844619, 242, 0
98, 201, 143, 16300200, 2, 259, 267, 13, 174, 126, 1, 0.961068, 1, 0.773317, 0.697966, 242, 0
13, 198, 231, 16300200, 2, 265, 23, 259, 126, 206, 0.968624, 1, 1, 1, 1, 242, 1
206, 198, 313, 16300484, 3, 186, 254, 265, 65, 23, 1, 1, 1, 0.755369, 1, 242, 0
126, 201, 329, 16300484, 3, 186, 265, 23, 259, 254, 1, 0.959801, 1, 1, 0.688178, 242, 0
259, 198, 359, 16300484, 3, 186, 254, 65, 265, 172, 1, 1, 0.863279, 1, 0.647488, 242, 0
23, 201, 365, 16300484, 3, 254, 265, 186, 65, 10000000, 1, 0.959801, 0.723587, 0.431639, 0, 242, 1
265, 201, 441, 16304685, 4, 10, 65, 186, 254, 172, 1, 1, 1, 1, 0.647195, 242, 0
254, 201, 483, 16304685, 4, 65, 186, 10, 10000000, 10000000, 1, 1, 0, 0, 0, 242, 1
186, 201, 527, 16304982, 5, 10, 65, 191, 10000000, 10000000, 1, 1, 0.322891, 0, 0, 242, 0
