source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,destination_x,destination_y,pri_1,pri_2,pri_3,pri_4,pri_5,pri_recover
201, 87, 198, 140, 11309366, 2, 3, 180, 98, 271, 587, 801, 267, 180, 226, 240, 23, 0
201, 87, 198, 173, 11309367, 4, 3, 240, 98, 271, 587, 801, 267, 180, 226, 240, 23, 0
201, 87, 201, 213, 11309367, 1, 3, 267, 98, 271, 587, 801, 267, 180, 226, 240, 23, 0
201, 87, 201, 224, 11309367, 3, 3, 226, 98, 271, 587, 801, 267, 180, 226, 240, 23, 0
201, 213, 201, 257, 11309950, 4, 4, 126, 267, 271, 587, 801, 265, 23, 174, 126, 27, 0
201, 213, 201, 298, 11309950, 2, 4, 23, 267, 271, 587, 801, 265, 23, 174, 126, 27, 0
201, 213, 198, 337, 11309950, 3, 4, 174, 267, 271, 587, 801, 265, 23, 174, 126, 27, 0
201, 213, 201, 412, 11309950, 1, 4, 265, 267, 271, 587, 801, 265, 23, 174, 126, 27, 0
201, 412, 201, 425, 11310533, 5, 5, 254, 265, 271, 587, 801, 65, 186, 45, 172, 254, 0
201, 412, 201, 459, 11310533, 2, 5, 186, 265, 271, 587, 801, 65, 186, 45, 172, 254, 0
201, 412, 201, 499, 11310534, 1, 5, 65, 265, 271, 587, 801, 65, 186, 45, 172, 254, 0
38, 198, 69, 198, 12300200, 5, 1, 197, 207, 84, 706, 598, 56, 215, 123, 17, 197, 0
38, 198, 85, 201, 12300200, 4, 1, 17, 207, 84, 706, 598, 56, 215, 123, 17, 197, 0
38, 198, 112, 198, 12300200, 1, 1, 56, 207, 84, 706, 598, 56, 215, 123, 17, 197, 0
38, 198, 135, 201, 12300200, 3, 1, 123, 207, 84, 706, 598, 56, 215, 123, 17, 197, 0
112, 198, 135, 201, 12300783, 3, 2, 123, 56, 84, 706, 598, 215, 27, 123, 267, 153, 0
112, 198, 166, 201, 12300783, 1, 2, 215, 56, 84, 706, 598, 215, 27, 123, 267, 153, 0
112, 198, 201, 215, 12300783, 4, 2, 267, 56, 84, 706, 598, 215, 27, 123, 267, 153, 0
112, 198, 266, 198, 12300783, 5, 2, 153, 56, 84, 706, 598, 215, 27, 123, 267, 153, 0
112, 198, 309, 198, 12300783, 2, 2, 27, 56, 84, 706, 598, 215, 27, 123, 267, 153, 0
166, 201, 266, 198, 12301366, 5, 3, 153, 215, 84, 706, 598, 218, 27, 71, 23, 153, 0
166, 201, 300, 201, 12301366, 3, 3, 71, 215, 84, 706, 598, 218, 27, 71, 23, 153, 0
166, 201, 309, 198, 12301366, 2, 3, 27, 215, 84, 706, 598, 218, 27, 71, 23, 153, 0
309, 198, 332, 201, 12305949, 5, 4, 178, 27, 84, 706, 598, 221, 112, 264, 292, 178, 0
