SIGO,PDR,,,,,,,,,,,,,,,,,,,,,,
LSGO,delay,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
0.0240176,0.038382,0.032121875,10000,,,,,,,,,,,,,,,,,,,,
0.030641667,0.034564143,0.032049667,11000,,,,,,,,,,,,,,,,,,,,
0.03783225,0.031945,0.0337055,11100,,,,,,,,,,,,,,,,,,,,
0.02262825,0.0322914,0.037794778,11110,,,,,,,,,,,,,,,,,,,,
0.0306056,0.034821778,0.031153778,20000,,,,,,,,,,,,,,,,,,,,
0.03178075,0.026411,0.030374,22000,,,,,,,,,,,,,,,,,,,,
0.0357235,0.038108875,0.027722125,22200,,,,,,,,,,,,,,,,,,,,
0.0344854,0.022725571,0.036620556,22220,,,,,,,,,,,,,,,,,,,,
0.033251,0.029250667,0.043885,30000,,,,,,,,,,,,,,,,,,,,
0.035061,0.0337094,0.03281025,33000,,,,,,,,,,,,,,,,,,,,
0.040566667,0.0418824,0.029416667,33300,,,,,,,,,,,,,,,,,,,,
0.0276082,0.030307286,0.037923667,33330,,,,,,,,,,,,,,,,,,,,
0.03394725,0.037280375,0.038991375,40000,,,,,,,,,,,,,,,,,,,,
0.0328166,0.042069625,0.039294333,44000,,,,,,,,,,,,,,,,,,,,
0.0310996,0.042914,0.036517625,44400,,,,,,,,,,,,,,,,,,,,
0.038543,0.030480571,0.030703222,44440,,,,,,,,,,,,,,,,,,,,
0.033313,0.037432571,0.041913444,50000,,,,,,,,,,,,,,,,,,,,
0.0420516,0.040484625,0.038090111,55000,,,,,,,,,,,,,,,,,,,,
0.0288998,0.035554625,0.028212375,55500,,,,,,,,,,,,,,,,,,,,
0.037849375,0.033211,0.037101222,55550,,,,,,,,,,,,,,,,,,,,
0.022591333,0.035879111,0.032660778,60000,,,,,,,,,,,,,,,,,,,,
0.032787571,0.031699889,0.039716222,66000,,,,,,,,,,,,,,,,,,,,
0.0378335,0.031102714,0.034541625,66600,,,,,,,,,,,,,,,,,,,,
0.032491667,0.042069444,0.0379765,66660,,,,,,,,,,,,,,,,,,,,
0.028775,0.038560875,0.026681,70000,,,,,,,,,,,,,,,,,,,,
0.033645143,0.02880525,0.03936675,77000,,,,,,,,,,,,,,,,,,,,
0.023958,0.030351,0.030257444,77700,,,,,,,,,,,,,,,,,,,,
0.031014,0.038306667,0.022726167,77770,,,,,,,,,,,,,,,,,,,,
0.033205667,0.037279857,0.036552875,80000,,,,,,,,,,,,,,,,,,,,
0.038256,0.033299286,0.032899,88000,,,,,,,,,,,,,,,,,,,,
0.029769667,0.0342485,0.037824778,88800,,,,,,,,,,,,,,,,,,,,
0.0325125,0.035206333,0.032778875,88880,,,,,,,,,,,,,,,,,,,,
0.030108,0.034311,0.036465222,90000,,,,,,,,,,,,,,,,,,,,
0.0292645,0.023184714,0.030221286,99000,,,,,,,,,,,,,,,,,,,,
0.0406788,0.031840111,0.039973143,99900,,,,,,,,,,,,,,,,,,,,
0.000411842,0.00041541,0.00039464,,,,,,,,,,,,,,,,,,,,,
SIGO,Overhead,,,,,,,,,,,,,,,,,,,,,,
300,400,500,seed,,,,,,,,,,,,,,,,,,,,
20.83333333,27.42857143,32.42857143,10000,,,,,,,,,,,,,,,,,,,,
36.5,20.44444444,21,11000,,,,,,,,,,,,,,,,,,,,
45.5,20.33333333,29.14285714,11100,,,,,,,,,,,,,,,,,,,,
38.25,32.83333333,22,11110,,,,,,,,,,,,,,,,,,,,
37.25,25.28571429,27.11111111,20000,,,,,,,,,,,,,,,,,,,,
39,25.375,25.4,22000,,,,,,,,,,,,,,,,,,,,
29,31.375,28.77777778,22200,,,,,,,,,,,,,,,,,,,,
41.4,33.57142857,22.7,22220,,,,,,,,,,,,,,,,,,,,
43.8,19.875,30,30000,,,,,,,,,,,,,,,,,,,,
35.6,27.875,26.625,33000,,,,,,,,,,,,,,,,,,,,
54,32.25,21.5,33300,,,,,,,,,,,,,,,,,,,,
