SIGO,PDR,,,,LSGO,PDR,,,SIGO- LSGO,,
132,33.25,24.33333333,10016,,,,,,,,
104,28.33333333,19.77777778,10017,,,,,,,,
34.66666667,34.16666667,20.42857143,10018,,,,,,,,
46,36.33333333,32.2,10019,,,,,,,,
51,33.25,22.75,10020,,,,,,,,
46,44,24.85714286,10021,,,,,,,,
49,26.16666667,34.25,10022,,,,,,,,
41.5,37.5,26.125,10023,,,,,,,,
32.75,25.85714286,23.44444444,10024,,,,,,,,
31.66666667,31,36.57142857,10025,,,,,,,,
58.75,39.66666667,29.71428571,10026,,,,,,,,
31,42.66666667,26.375,10027,,,,,,,,
104,28.16666667,20.2,10028,,,,,,,,
56.33333333,30.8,26.57142857,10029,,,,,,,,
42,25.6,33,10030,,,,,,,,
132,34.75,23.11111111,10031,,,,,,,,
47.33333333,37.25,43.4,10032,,,,,,,,
108,26,37.33333333,10033,,,,,,,,
73.5,24.71428571,22,10034,,,,,,,,
44.5,31,20.125,10035,,,,,,,,
43.33333333,39,29.83333333,10036,,,,,,,,
32,24.5,22.5,10037,,,,,,,,
29.66666667,25.66666667,30.42857143,10038,,,,,,,,
79,20.85714286,32.83333333,10039,,,,,,,,
32.8,27.83333333,21.33333333,10040,,,,,,,,
100,36.5,30.16666667,10041,,,,,,,,
37,44,22.25,10042,,,,,,,,
67,26,28.625,10043,,,,,,,,
109,28.75,20.125,10044,,,,,,,,
37.33333333,32.8,23.875,10045,,,,,,,,
35.66666667,22,23.875,10046,,,,,,,,
74.5,38.6,19,10047,,,,,,,,
65.5,28,25.125,10048,,,,,,,,
65.5,36.75,20.8,10049,,,,,,,,
,,,,,,,,,,,
SIGO,Hop,,,,,,,,,,
200,300,400,seed,,,,,,,,
14.5,12.33333333,11.625,10001,,,,,,,,
13.66666667,10.5,12,10002,,,,,,,,
12,11,13.14285714,10003,,,,,,,,
14,11.5,12.75,10004,,,,,,,,
12.5,9.5,12.625,10005,,,,,,,,
11.5,10,12.875,10006,,,,,,,,
13,12.16666667,14.375,10007,,,,,,,,
17,10.33333333,12.44444444,10008,,,,,,,,
14.75,13.25,11.85714286,10009,,,,,,,,
14.33333333,10.28571429,11.71428571,10010,,,,,,,,
14.5,10.625,11.5,10011,,,,,,,,
12.75,10.5,12,10012,,,,,,,,
14.66666667,12.4,12.55555556,10013,,,,,,,,
12,8.666666667,12.55555556,10014,,,,,,,,
16,11.4,13.11111111,10015,,,,,,,,
10,10.83333333,12.77777778,10016,,,,,,,,
11,9.75,12.5,10017,,,,,,,,
11.66666667,11.16666667,13.2,10018,,,,,,,,
11.66666667,11.5,12.14285714,10019,,,,,,,,
15,11.2,13.22222222,10020,,,,,,,,
12.66666667,11.25,12.28571429,10021,,,,,,,,
13,12.71428571,12.8,10022,,,,,,,,
13,10.5,12.875,10023,,,,,,,,
12,11,12.44444444,10024,,,,,,,,
14,11.66666667,13.25,10025,,,,,,,,
15,12,13,10026,,,,,,,,
14,11.57142857,12.22222222,10027,,,,,,,,
12.33333333,11.4,12.5,10028,,,,,,,,
15,11.85714286,12.375,10029,,,,,,,,
13,11.42857143,12.77777778,10030,,,,,,,,
15,9.75,13,10031,,,,,,,,
13.33333333,10.85714286,11.75,10032,,,,,,,,
16,11.2,12.66666667,10033,,,,,,,,
12.5,10,13,10034,,,,,,,,
15.66666667,12,13.25,10035,,,,,,,,
14.5,10.8,12.875,10036,,,,,,,,
10,11,12.625,10037,,,,,,,,
11,10.25,12.25,10038,,,,,,,,
13.25,11.42857143,12.875,10039,,,,,,,,
13.25,10.83333333,12.55555556,10040,,,,,,,,
14,9.75,13,10041,,,,,,,,
12,12.8,12.875,10042,,,,,,,,
15,10.83333333,11.5,10043,,,,,,,,
15,10.25,12.375,10044,,,,,,,,
12.33333333,13.16666667,11.33333333,10045,,,,,,,,
12.25,10.85714286,13.28571429,10046,,,,,,,,
15.33333333,13,12.14285714,10047,,,,,,,,
11.5,10.66666667,12.7,10048,,,,,,,,
