SIGO,PDR,,
300,400,500,seed
34.83333333,27.28571429,25.55555556,10000
46,24.125,23.7,11000
35,24,28,11100
41,29.16666667,24.77777778,11110
52,42.125,32.22222222,11111
29.8,28.85714286,25.33333333,11112
40,32,22.7,11113
21.14285714,37.16666667,28.55555556,11114
37.4,27,25.8,11115
37.42857143,29.71428571,27.44444444,11116
81.5,34.375,21,11117
28.66666667,27.77777778,25.33333333,11118
56.25,42,24.5,11119
51.25,28,43.57142857,20000
37.66666667,21.66666667,25,22000
35.6,33.71428571,25.375,22200
30.875,31,26.5,22220
35.33333333,19.75,23.33333333,22221
33,29,24,22222
76,36.14285714,27.5,22223
33,29.5,27.125,22224
37.4,28.125,27.77777778,22225
56.25,31.625,24.2,22226
37,36.625,22,22227
48.8,36.71428571,35,22228
54.2,30.375,33.5,22229
60.2,28,21.75,30000
27.33333333,35.14285714,27.33333333,33000
43.5,47.33333333,22.77777778,33300
27.83333333,31.66666667,24.77777778,33330
29,36.66666667,24.44444444,33331
31,39.71428571,26.22222222,33332
33,32.125,28.77777778,33333
108,36.42857143,26.7,33334
21.85714286,25.44444444,30,33335
46.75,31,25,33336
36.42857143,35.77777778,26.875,33337
30.2,30.22222222,21.66666667,33338
35.57142857,36.55555556,32.71428571,33339
60,30.44444444,24.75,40000
49,24.71428571,28,44000
32.5,62.125,22.44444444,44400
39.66666667,30.88888889,25.1,44440
34.33333333,31.14285714,25.5,44444
37.33333333,27,20,50000
29.5,23.875,22.22222222,55000
29.5,31.28571429,25.66666667,55500
32.14285714,30.16666667,28.28571429,55550
32.57142857,42.28571429,30.11111111,55555
41.75,42.33333333,23.3,60000
29.33333333,28.125,31.66666667,66000
34.28571429,29.33333333,20.8,66600
46,30.875,31,66660
27,38.71428571,23.5,66666
40.25,43.5,29.75,70000
33.5,32.28571429,29,77000
37,32.11111111,28.375,77700
39.66666667,32.375,26,77770
35.14285714,36.5,25.7,77777
34.83333333,41.28571429,21.75,80000
25.85714286,24.875,22.14285714,88000
38,38,25.88888889,88800
46.16666667,37.42857143,23.1,88880
26.66666667,27.77777778,23.77777778,88888
35.75,31,30.1,90000
29,29.57142857,21,99000
49.75,29.625,25.44444444,99900
31.5,40.33333333,19.5,99999
,,,
LSGO,Overhead,,
300,400,500,seed
34.2,25.5,33.75,10000
42.16666667,31.57142857,24.22222222,11000
38.25,24.5,26.25,11100
47,29.2,29.77777778,11110
26.14285714,39.85714286,29.22222222,11111
24,29,30.11111111,11112
166,23.33333333,30,11113
39,42.66666667,24.75,11114
42,39,23.3,11115
78.66666667,39.4,31.5,11116
34.4,41.57142857,25.6,11117
26.85714286,35,24.2,11118
75,27.375,27.55555556,11119
27.8,24.11111111,34,20000
39,26.71428571,22.22222222,22000
41.75,30.875,26.75,22200
43,22.57142857,25.11111111,22220
40,26.28571429,24.1,22221
30.57142857,26.75,23.28571429,22222
43.8,22.11111111,19.55555556,22223
36.4,21.33333333,16,22224
26.75,25.16666667,22.625,22225
34,41.66666667,21,22226
36.75,37.83333333,26.625,22227
57.16666667,25.42857143,32,22228
61,28.5,25.88888889,22229
64.5,24.11111111,31.875,30000
35.6,36.6,25.875,33000
70,35.4,23.33333333,33300
40.6,30.28571429,23.77777778,33330
37.4,37,20.8,33331
60,29.375,23.375,33332
33.5,43,25.25,33333
39.75,35,24.88888889,33334
36.25,33.42857143,24.3,33335
61.75,38.57142857,17.66666667,33336
47.25,23.66666667,29.77777778,33337
31.8,34.57142857,29,33338
29.33333333,30.66666667,25.75,33339
49.5,27,23,40000
44,36.875,31,44000
0,33.75,24.875,44400
44,29.42857143,29.77777778,44440
40,36.5,27.55555556,44444
28.83333333,26.14285714,31.33333333,50000
38.8,20.875,29,55000
31,24.625,21.875,55500
33.875,36.8,24.33333333,55550
46.5,22.875,23.375,55555
44.66666667,25.22222222,22.11111111,60000
31.57142857,20.77777778,24.44444444,66000
31,29.42857143,24.875,66600
43,20.77777778,23.9,66660
28.14285714,37.14285714,20.1,66666
56.5,38.875,24.66666667,70000
22.28571429,22.875,30.75,77000
38,24.375,38.22222222,77700
32,31.83333333,32,77770
29,29.57142857,21,77777
51.33333333,37.28571429,24.375,80000
19.71428571,34.71428571,19.22222222,88000
35.33333333,39.33333333,25.88888889,88800
39.5,47.16666667,22.125,88880
37,28.55555556,26.125,88888
33,26,25.11111111,90000
29.5,28.28571429,23.71428571,99000
42.2,22.88888889,33,99900
37.2,39.14285714,24.625,99999
,,,
SIGO,PDR-average,,
300,400,500,seed
0.539705882,0.754411765,0.897058824,
,,,
LSGO,PDR-average,,
300,400,500,seed
0.498529412,0.723529412,0.860294118,
,,,
SIGO,delay-average,,
300,400,500,seed
0.033318064,0.037749174,0.036063241,
,,,
LSGO,delay-average,,
300,400,500,seed
0.033082435,0.034350744,0.034621156,
,,,
SIGO,overhead-average,,
300,400,500,seed
39.64809174,32.70421919,26.06940943,
,,,
LSGO,delay-average,,
300,400,500,seed
41.42442227,30.85473856,25.84489379,
